key,option,VN,CN,TH
Active,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__active",Đang hoạt động,正常營運,ใช้งานอยู่
Next Activity Deadline,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__activity_date_deadline",Hạn chót hoạt động tiếp theo,Next Activity Deadline,Next Activity Deadline
Activity Exception Decoration,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__activity_exception_decoration",Kiểu cảnh báo hoạt động,Activity Exception Decoration,Activity Exception Decoration
Type of the exception activity on record.,"model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_management__activity_exception_decoration",Loại hoạt động ngoại lệ trên bản ghi.,Type of the exception activity on record.,Type of the exception activity on record.
Icon,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__activity_exception_icon",Biểu tượng,Icon,Icon
Icon to indicate an exception activity.,"model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_management__activity_exception_icon",Biểu tượng biểu thị một hoạt động ngoại lệ.,Icon to indicate an exception activity.,Icon to indicate an exception activity.
Activities,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__activity_ids",Các hoạt động,Activities,Activities
Activity State,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__activity_state",Trạng thái hoạt động,Activity State,Activity State
"Status based on activities
Overdue: Due date is already passed
Today: Activity date is today
Planned: Future activities.","model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_management__activity_state","Trạng thái dựa trên các hoạt động:
Quá hạn: Hạn chót đã qua
Hôm nay: Hạn chót là hôm nay
Đã lên kế hoạch: Các hoạt động trong tương lai.","Status based on activities
Overdue: Due date is already passed
Today: Activity date is today
Planned: Future activities.","Status based on activities
Overdue: Due date is already passed
Today: Activity date is today
Planned: Future activities."
Next Activity Summary,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__activity_summary",Tóm tắt hoạt động tiếp theo,Next Activity Summary,Next Activity Summary
Activity Type Icon,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__activity_type_icon",Biểu tượng loại hoạt động,Activity Type Icon,Activity Type Icon
Font awesome icon e.g. fa-tasks,"model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_management__activity_type_icon",Biểu tượng Font Awesome ví dụ fa-tasks,Font awesome icon e.g. fa-tasks,Font awesome icon e.g. fa-tasks
Next Activity Type,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__activity_type_id",Loại hoạt động tiếp theo,Next Activity Type,Next Activity Type
Responsible User,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__activity_user_id",Người phụ trách,Responsible User,Responsible User
Address,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__address",Địa chỉ,地址,ที่อยู่
Area,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__area_id",Khu vực,Area,Area
Area Manager,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__area_manager_user_id",Quản lý khu vực,Area Manager,Area Manager
Person responsible for running this area.,"model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_management__area_manager_user_id",Người phụ trách quản lý khu vực này.,Person responsible for running this area.,Person responsible for running this area.
Area name,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__area_name",Khu vực Tên,Area name,Area name
Store code,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__code",Mã cửa hàng,門市代碼,รหัสร้านค้า
"Franchise store code, e.g. H010 or HN-01.","model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_management__code","Mã cửa hàng nhượng quyền, ví dụ: H010 hoặc HN-01.","Franchise store code, e.g. H010 or HN-01.","Franchise store code, e.g. H010 or HN-01."
Consecutive C Count,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__consecutive_c_count",Số lần liên tiếp đạt loại C,Consecutive C Count,Consecutive C Count
Number of consecutive completed inspections with grade C from the latest round.,"model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_management__consecutive_c_count",Số đợt giám sát hoàn thành liên tiếp đạt loại C tính từ đợt gần nhất.,Number of consecutive completed inspections with grade C from the latest round.,Number of consecutive completed inspections with grade C from the latest round.
Consecutive C/D Count,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__consecutive_cd_count",Số lần liên tiếp đạt loại C/D,Consecutive C/D Count,Consecutive C/D Count
"Consecutive count of grade C if latest is C, or consecutive count of grade D if latest is D.","model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_management__consecutive_cd_count",Số đợt liên tiếp đạt loại C (nếu gần nhất là C) hoặc loại D (nếu gần nhất là D).,"Consecutive count of grade C if latest is C, or consecutive count of grade D if latest is D.","Consecutive count of grade C if latest is C, or consecutive count of grade D if latest is D."
Consecutive D Count,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__consecutive_d_count",Số lần liên tiếp đạt loại D,Consecutive D Count,Consecutive D Count
Number of consecutive completed inspections with grade D from the latest round.,"model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_management__consecutive_d_count",Số đợt giám sát hoàn thành liên tiếp đạt loại D tính từ đợt gần nhất.,Number of consecutive completed inspections with grade D from the latest round.,Number of consecutive completed inspections with grade D from the latest round.
Created on,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__create_date",Ngày tạo,Created on,Created on
Created by,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__create_uid",Người tạo,Created by,Created by
Operating description,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__description",Mô tả vận hành,Operating description,Operating description
"Operating notes: delivery, loading bans, parking bans...","model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_management__description","Ghi chú vận hành: giao hàng, cấm dừng đỗ, cấm tải...","Operating notes: delivery, loading bans, parking bans...","Operating notes: delivery, loading bans, parking bans..."
Display Name,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__display_name",Tên hiển thị,Display Name,Display Name
Documents,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__document_ids",Tài liệu đính kèm,Documents,Documents
Assigned Supervisor,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__effective_supervision_user_id",Phân công giám sát,Assigned Supervisor,Assigned Supervisor
"Franchise supervisor. If not assigned, defaults to Area Manager.","model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_management__effective_supervision_user_id",Nhân viên giám sát nhượng quyền. Nếu để trống sẽ mặc định theo Quản lý khu vực.,"Franchise supervisor. If not assigned, defaults to Area Manager.","Franchise supervisor. If not assigned, defaults to Area Manager."
Email,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__email",Email,Email,Email
Franchise end date,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__franchise_end_date",Ngày kết thúc hợp đồng,加盟結束日,วันสิ้นสุดสัญญา
Franchise start date,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__franchise_start_date",Ngày bắt đầu hợp đồng,加盟開始日,วันเริ่มสัญญา
Google Map URL,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__google_map_url",Đường dẫn Google Map,Google Map URL,Google Map URL
Has Message,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__has_message",Có tin nhắn,Has Message,Has Message
ID,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__id",ID,ID,ID
Inspection Chart Data,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__inspection_chart_data",Dữ liệu biểu đồ giám sát,Inspection Chart Data,Inspection Chart Data
Inspection Sheets,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__inspection_ids",Phiếu giám sát,督導表,แบบฟอร์มการติดตาม
Invoiced,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__invoiced",Đã xuất hóa đơn,已開立發票,ออกใบแจ้งหนี้แล้ว
Flag tracking whether the related invoices have been issued.,"model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_management__invoiced",Cờ theo dõi các hóa đơn liên quan đã được xuất hay chưa.,Flag tracking whether the related invoices have been issued.,Flag tracking whether the related invoices have been issued.
